words,values
cassetto,5.08
marcio,8.76
mangiare,3.24
vista,4.12
radiatore,12.88
pulcino,4.28
tassello,8.68
ambulanza,5.36
ciliegia,5.88
impotente,11.72
mole,11.96
mitra,8.68
cammello,4.92
lotteria,8.6
ferro,6.56
scoiattolo,5.04
camicia,5.04
aver fame,3.0
mistero,7.04
fenicottero,7.92
nuvoloso,5.0
telefono,5.52
maglia,4.44
grave,6.76
abito,5.04
cantiere,8.92
schiaffo,3.76
attaccapanni,6.76
museo,7.48
cibo,3.52
braccio,3.84
polvere,5.4
maestro,4.52
eccezionale,8.88
ragazzino,5.32
immorale,9.36
indifferente,9.32
cavallo,3.92
magico,4.08
spalla,5.04
ape,4.32
aver sete,3.84
pavimento,4.2
parrucchiere,5.24
ricchezza,7.12
biglietto,5.48
stomaco,5.84
estasi,12.24
finestra,3.84
tuta,4.666666666666667
problema,6.52
spiaggia,3.96
amato,6.68
pentito,9.48
targa,7.4
tacchino,5.08
disprezzo,9.36
finire,5.32
rivolta,8.88
scolapasta,7.08
campione,5.88
ovatta,6.375
prugna,5.56
odioso,7.56
mela,3.84
strato,8.6
zio,3.12
verde,3.84
lenire,10.91304347826087
cadavere,9.6
tumore,10.84
asino,4.36
mucca,4.0
pace,5.04
giocare,2.96
racchetta,4.84
cercare,4.72
registrare,7.96
sbalordito,7.72
cioccolato,3.52
frusta,7.12
rettile,6.56
chiave,6.04
orecchino,5.44
ratto,6.52
schiena,4.4
asciutto,5.08
termosifone,6.0
fretta,6.08
curioso,5.96
pipa,7.24
goccia,4.56
paletta,4.88
nettare,7.6
culla,3.68
corrotto,10.32
insicuro,8.56
risposta,4.92
grossolano,9.44
infelice,6.28
pozzo,6.48
pianeta,6.04
vivace,5.6
spaventoso,5.24
motocicletta,7.24
sabbia,4.64
gonna,4.76
sonno,3.56
riva,5.84
applauso,5.0
razzo,6.84
lungo,4.12
ciliegio,6.24
fascino,8.04
scorpione,5.96
cacao,4.76
cipresso,7.68
coppia,7.08
stagione,4.92
ostaggio,8.6
fata,4.24
estate,4.28
pattuglia,8.48
momento,5.96
vertigine,10.0
abbandonato,6.68
alba,6.88
sorpreso,6.4
sedia,2.96
vincitore,6.24
foresta,5.44
cortese,7.72
campana,5.04
incudine,8.32
foglio,4.12
pretore,12.92
tariffa,10.88
accettazione,11.8
contenuto,8.2
accogliente,8.96
firmamento,10.84
pigro,7.96
cappotto,5.28
bere,3.76
terrorista,8.72
vampiro,7.36
provare,7.0
biscotto,3.4
bollente,4.84
lanterna,8.681818181818182
girare,4.64
chirurgia,9.68
lato,6.0
monastero,9.6
boia,10.391304347826088
dito,3.44
brevetto,9.88
slitta,5.48
saggio,8.56
bicchiere,3.8
grasso,5.88
danno,6.12
palestra,8.0
vapore,6.24
stella,4.16
pulito,5.44
arsenale,11.48
punizione,4.72
botte,8.24
episodio,8.68
omicida,9.6
utile,6.08
topo,3.4
sedersi,3.28
fieno,6.24
fanghiglia,11.347826086956522
adulto,5.32
vedovo,9.44
eccitato,10.0
cimitero,4.8
ananas,5.64
ghiaccio,5.08
bocca,2.44
industria,8.24
laccio,4.88
trionfo,8.2
corda,5.28
preda,6.64
viale,5.96
piscina,4.72
tagliare,4.64
guardare,5.08
dondolare,4.52
chitarra,5.24
giacca,5.96
tornado,7.48
lavandino,4.32
disertore,11.26086956521739
attraente,9.88
brandello,9.32
zattera,6.36
fattoria,4.56
cucina,3.84
natale,3.36
calzino,4.12
caos,7.48
cellula,9.52
zoo,5.76
golfista,8.28
scusa,4.68
sommergibile,8.92
onesto,6.84
armadio,4.16
garofano,7.36
aiutare,4.48
ruggine,8.0
trota,7.68
barba,5.72
timido,5.56
candelabro,6.52
colpa,6.04
ruvido,6.68
menzogna,8.08
spegnere,4.72
elettrodomestico,6.8
elica,7.8
bastone,5.04
diavolo,5.72
speranzoso,9.4
sposa,5.32
termite,9.727272727272727
spugna,5.88
vetta,8.16
margherita,4.12
svegliarsi,3.08
rosso,3.12
immagine,5.08
pollo,3.72
identità,9.12
lucertola,4.24
locomotiva,7.24
innamorato,8.96
liberazione,9.0
puzzola,6.92
funerale,6.08
alluvione,8.08
elmo,9.44
candela,3.96
vergine,10.76
spaventare,6.28
marrone,3.64
soffocare,6.52
mite,9.208333333333334
toccare,3.12
distaccato,9.12
moda,8.36
acqua,2.96
scivolo,3.64
bicicletta,4.4
tossico,9.32
disgustato,7.72
allerta,10.32
anguria,4.4
fiducia,8.2
privacy,9.68
ridicolo,8.68
pantaloni,3.84
disordinato,5.0
crisi,8.16
ribes,11.571428571428571
charme,12.52
parlare,3.64
olio,4.36
speranza,7.2
rompere,4.08
dormire,3.08
luce,4.0
perspicacia,9.28
spigolo,4.96
notizia,6.56
costa,6.72
odore,4.44
sassofono,8.88
bottiglia,3.84
pera,3.96
vigile,7.64
serbatoio,8.92
papà,2.2
inquinare,7.96
arte,8.12
evidenziatore,8.48
gruppo,6.0
casetta,3.96
assurdo,7.84
sonaglio,6.52
cerbiatto,5.48
cane,2.76
vernice,7.04
burrasca,7.833333333333333
